solv_i_id,molefrac_i,ln_gamma_i
solvent_587 / solvent_604,0.00 / 1.00,0.390646700 / 0.000000000
solvent_210 / solvent_740,0.00 / 1.00,0.193653480 / 0.000000000
solvent_616 / solvent_669,0.00 / 1.00,-0.240594070 / 0.000000000
solvent_376 / solvent_655,0.00 / 1.00,0.046411150 / 0.000000000
solvent_303 / solvent_740,0.00 / 1.00,-0.413848620 / 0.000000000
solvent_139 / solvent_701,0.00 / 1.00,0.156058320 / 0.000000000
solvent_122 / solvent_709,0.00 / 1.00,0.180626020 / 0.000000000
solvent_647 / solvent_728,0.00 / 1.00,0.109404260 / 0.000000000
solvent_380 / solvent_414,0.00 / 1.00,0.343515620 / 0.000000000
solvent_15 / solvent_114,0.00 / 1.00,0.260796120 / 0.000000000
solvent_233 / solvent_698,0.00 / 1.00,0.354890020 / 0.000000000
solvent_251 / solvent_664,0.00 / 1.00,0.341759250 / 0.000000000
solvent_332 / solvent_690,0.00 / 1.00,0.312412360 / 0.000000000
solvent_28 / solvent_280,0.00 / 1.00,0.683155150 / 0.000000000
solvent_160 / solvent_277,0.00 / 1.00,1.474674560 / 0.000000000
solvent_136 / solvent_691,0.00 / 1.00,0.135690270 / 0.000000000
solvent_151 / solvent_517,0.00 / 1.00,1.749901310 / 0.000000000
solvent_252 / solvent_472,0.00 / 1.00,-0.246058240 / 0.000000000
solvent_39 / solvent_386,0.00 / 1.00,0.021304380 / 0.000000000
solvent_722 / solvent_727,0.00 / 1.00,0.130550850 / 0.000000000
solvent_663 / solvent_698,0.00 / 1.00,0.920606220 / 0.000000000
solvent_83 / solvent_329,0.00 / 1.00,0.077241450 / 0.000000000
solvent_84 / solvent_630,0.00 / 1.00,-0.184853150 / 0.000000000
solvent_578 / solvent_656,0.00 / 1.00,3.652618090 / 0.000000000
solvent_23 / solvent_182,0.00 / 1.00,-4.666884780 / 0.000000000
solvent_473 / solvent_809,0.00 / 1.00,-0.060139920 / 0.000000000
solvent_54 / solvent_92,0.00 / 1.00,0.324785100 / 0.000000000
solvent_413 / solvent_696,0.00 / 1.00,5.796829460 / 0.000000000
solvent_450 / solvent_553,0.00 / 1.00,-0.037288420 / 0.000000000
solvent_306 / solvent_831,0.00 / 1.00,0.335177910 / 0.000000000
solvent_150 / solvent_615,0.00 / 1.00,0.620970850 / 0.000000000
solvent_22 / solvent_347,0.00 / 1.00,0.368964570 / 0.000000000
solvent_297 / solvent_475,0.00 / 1.00,-0.030038150 / 0.000000000
solvent_574 / solvent_841,0.00 / 1.00,0.055730710 / 0.000000000
solvent_418 / solvent_586,0.00 / 1.00,-0.264998740 / 0.000000000
solvent_248 / solvent_391,0.00 / 1.00,-0.156274930 / 0.000000000
solvent_59 / solvent_180,0.00 / 1.00,0.628657290 / 0.000000000
solvent_102 / solvent_306,0.00 / 1.00,0.134594040 / 0.000000000
solvent_350 / solvent_840,0.00 / 1.00,-0.049139410 / 0.000000000
solvent_726 / solvent_794,0.00 / 1.00,0.608151230 / 0.000000000
solvent_380 / solvent_482,0.00 / 1.00,3.829978320 / 0.000000000
solvent_232 / solvent_497,0.00 / 1.00,0.646017060 / 0.000000000
solvent_382 / solvent_470,0.00 / 1.00,2.088099000 / 0.000000000
solvent_583 / solvent_677,0.00 / 1.00,1.583855330 / 0.000000000
solvent_141 / solvent_377,0.00 / 1.00,-0.617453800 / 0.000000000
solvent_289 / solvent_721,0.00 / 1.00,2.750272370 / 0.000000000
solvent_173 / solvent_464,0.00 / 1.00,-0.332845660 / 0.000000000
solvent_408 / solvent_844,0.00 / 1.00,6.334995600 / 0.000000000
solvent_190 / solvent_499,0.00 / 1.00,0.046466090 / 0.000000000
solvent_541 / solvent_633,0.00 / 1.00,-0.962835610 / 0.000000000
solvent_203 / solvent_553,0.00 / 1.00,-0.754241230 / 0.000000000
solvent_430 / solvent_568,0.00 / 1.00,-0.738641870 / 0.000000000
solvent_57 / solvent_511,0.00 / 1.00,0.017782360 / 0.000000000
solvent_110 / solvent_809,0.00 / 1.00,-0.270204140 / 0.000000000
solvent_120 / solvent_804,0.00 / 1.00,-2.192664650 / 0.000000000
solvent_246 / solvent_559,0.00 / 1.00,-0.318541200 / 0.000000000
solvent_233 / solvent_425,0.00 / 1.00,1.097217530 / 0.000000000
solvent_249 / solvent_804,0.00 / 1.00,1.715474780 / 0.000000000
solvent_59 / solvent_708,0.00 / 1.00,4.357079610 / 0.000000000
solvent_389 / solvent_626,0.00 / 1.00,0.847030650 / 0.000000000
solvent_301 / solvent_728,0.00 / 1.00,0.314594120 / 0.000000000
solvent_111 / solvent_574,0.00 / 1.00,-0.269556070 / 0.000000000
solvent_246 / solvent_423,0.00 / 1.00,0.664983180 / 0.000000000
solvent_251 / solvent_398,0.00 / 1.00,0.613998850 / 0.000000000
solvent_142 / solvent_514,0.00 / 1.00,-0.028593240 / 0.000000000
solvent_696 / solvent_705,0.00 / 1.00,0.625569660 / 0.000000000
solvent_71 / solvent_187,0.00 / 1.00,0.319648120 / 0.000000000
solvent_141 / solvent_421,0.00 / 1.00,-0.214759490 / 0.000000000
solvent_2 / solvent_714,0.00 / 1.00,0.673766390 / 0.000000000
solvent_9 / solvent_616,0.00 / 1.00,-0.020621220 / 0.000000000
solvent_298 / solvent_570,0.00 / 1.00,0.603528250 / 0.000000000
solvent_488 / solvent_500,0.00 / 1.00,0.309630120 / 0.000000000
solvent_657 / solvent_681,0.00 / 1.00,0.138247900 / 0.000000000
solvent_114 / solvent_711,0.00 / 1.00,-0.157698120 / 0.000000000
solvent_99 / solvent_313,0.00 / 1.00,1.054380550 / 0.000000000
solvent_487 / solvent_508,0.00 / 1.00,0.615210030 / 0.000000000
solvent_86 / solvent_840,0.00 / 1.00,2.374666320 / 0.000000000
solvent_579 / solvent_727,0.00 / 1.00,0.119608660 / 0.000000000
solvent_555 / solvent_630,0.00 / 1.00,0.105019930 / 0.000000000
solvent_122 / solvent_606,0.00 / 1.00,-0.014651730 / 0.000000000
solvent_206 / solvent_432,0.00 / 1.00,-0.669926270 / 0.000000000
solvent_225 / solvent_341,0.00 / 1.00,1.238959570 / 0.000000000
solvent_336 / solvent_836,0.00 / 1.00,-0.424146880 / 0.000000000
solvent_394 / solvent_842,0.00 / 1.00,6.847677970 / 0.000000000
solvent_188 / solvent_296,0.00 / 1.00,0.185073390 / 0.000000000
solvent_429 / solvent_827,0.00 / 1.00,-0.251650290 / 0.000000000
solvent_570 / solvent_635,0.00 / 1.00,4.845650890 / 0.000000000
solvent_131 / solvent_566,0.00 / 1.00,0.859608110 / 0.000000000
solvent_23 / solvent_381,0.00 / 1.00,1.173380250 / 0.000000000
