solv_i_id,molefrac_i,ln_gamma_i
solvent_587 / solvent_604,0.10 / 0.90,0.471759350 / 0.000251480
solvent_210 / solvent_740,0.10 / 0.90,0.222069620 / -0.001498440
solvent_616 / solvent_669,0.10 / 0.90,-0.174561730 / -0.003405010
solvent_376 / solvent_655,0.10 / 0.90,0.010381290 / 0.001656160
solvent_303 / solvent_740,0.10 / 0.90,-0.363287560 / -0.002749130
solvent_139 / solvent_701,0.10 / 0.90,0.160073370 / -0.000388210
solvent_122 / solvent_709,0.10 / 0.90,0.113637390 / 0.002867390
solvent_647 / solvent_728,0.10 / 0.90,0.091659960 / 0.001361720
solvent_380 / solvent_414,0.10 / 0.90,0.250214140 / 0.004711570
solvent_15 / solvent_114,0.10 / 0.90,0.143792080 / 0.006016230
solvent_233 / solvent_698,0.10 / 0.90,0.312866580 / 0.002317560
solvent_251 / solvent_664,0.10 / 0.90,0.258062590 / 0.004282830
solvent_332 / solvent_690,0.10 / 0.90,0.267026930 / 0.002355820
solvent_28 / solvent_280,0.10 / 0.90,0.575633320 / 0.005705960
solvent_160 / solvent_277,0.10 / 0.90,0.601429470 / 0.036816360
solvent_136 / solvent_691,0.10 / 0.90,0.115506390 / 0.001077660
solvent_151 / solvent_517,0.10 / 0.90,1.132658060 / 0.030348420
solvent_252 / solvent_472,0.10 / 0.90,-0.176218180 / -0.003526200
solvent_39 / solvent_386,0.10 / 0.90,0.027112390 / -0.000374580
solvent_722 / solvent_727,0.10 / 0.90,0.032217770 / 0.002815460
solvent_663 / solvent_698,0.10 / 0.90,0.697302020 / 0.011147290
solvent_83 / solvent_329,0.10 / 0.90,0.062581550 / 0.000749060
solvent_84 / solvent_630,0.10 / 0.90,-0.137483650 / -0.002434820
solvent_578 / solvent_656,0.10 / 0.90,1.743100590 / 0.062929900
solvent_23 / solvent_182,0.10 / 0.90,-3.968937390 / -0.038461440
solvent_473 / solvent_809,0.10 / 0.90,-0.049475400 / -0.000557320
solvent_54 / solvent_92,0.10 / 0.90,0.235438700 / 0.004520210
solvent_413 / solvent_696,0.10 / 0.90,2.358232570 / 0.119829500
solvent_450 / solvent_553,0.10 / 0.90,-0.023722260 / -0.000751390
solvent_306 / solvent_831,0.10 / 0.90,0.257380120 / 0.004034200
solvent_150 / solvent_615,0.10 / 0.90,0.447873610 / 0.009447090
solvent_22 / solvent_347,0.10 / 0.90,0.205966230 / 0.007467620
solvent_297 / solvent_475,0.10 / 0.90,-0.024849130 / -0.000276060
solvent_574 / solvent_841,0.10 / 0.90,0.044945700 / 0.000584010
solvent_418 / solvent_586,0.10 / 0.90,-0.205574580 / -0.002966770
solvent_248 / solvent_391,0.10 / 0.90,-0.137629410 / -0.000997010
solvent_59 / solvent_180,0.10 / 0.90,0.468168830 / 0.008017690
solvent_102 / solvent_306,0.10 / 0.90,0.106736030 / 0.001457190
solvent_350 / solvent_840,0.10 / 0.90,-0.037180980 / -0.000617750
solvent_726 / solvent_794,0.10 / 0.90,0.541261120 / 0.003619040
solvent_380 / solvent_482,0.10 / 0.90,3.050180490 / 0.040114740
solvent_232 / solvent_497,0.10 / 0.90,0.602917550 / 0.002379170
solvent_382 / solvent_470,0.10 / 0.90,1.406667430 / 0.032269970
solvent_583 / solvent_677,0.10 / 0.90,1.312846280 / 0.014146300
solvent_141 / solvent_377,0.10 / 0.90,-0.520710430 / -0.005187620
solvent_289 / solvent_721,0.10 / 0.90,2.332538460 / 0.022055800
solvent_173 / solvent_464,0.10 / 0.90,-0.294318030 / -0.002813120
solvent_408 / solvent_844,0.10 / 0.90,4.200860680 / 0.102706850
solvent_190 / solvent_499,0.10 / 0.90,0.038792360 / 0.000329490
solvent_541 / solvent_633,0.10 / 0.90,-0.886450130 / -0.004275710
