solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_261 / solvent_60,1 / 0,298.15,0 / 2.37,aci
solvent_261 / solvent_50,1 / 0,298.15,0 / 1.62,aci
solvent_261 / solvent_18,1 / 0,298.15,0 / 0.22,aci
solvent_261 / solvent_365,1 / 0,298.15,0 / 1.31,aci
solvent_261 / solvent_93,1 / 0,298.15,0 / 0.9,aci
solvent_192 / solvent_5,1 / 0,298.15,0 / 1.16,aci
solvent_192 / solvent_251,1 / 0,298.15,0 / 1.53,aci
solvent_192 / solvent_60,1 / 0,298.15,0 / 1.27,aci
solvent_192 / solvent_50,1 / 0,298.15,0 / 1.03,aci
solvent_192 / solvent_18,1 / 0,298.15,0 / -0.22,aci
solvent_192 / solvent_365,1 / 0,298.15,0 / 0.59,aci
solvent_192 / solvent_93,1 / 0,298.15,0 / 0.34,aci
solvent_192 / solvent_32,1 / 0,298.15,0 / -1.05,aci
solvent_832 / solvent_18,1 / 0,298.15,0 / 0.1,aci
solvent_832 / solvent_3,1 / 0,298.15,0 / 0.1,aci
solvent_832 / solvent_41,1 / 0,298.15,0 / 0.41,aci
solvent_71 / solvent_18,1 / 0,298.15,0 / 0.5,aci
solvent_71 / solvent_3,1 / 0,298.15,0 / 0.49,aci
solvent_51 / solvent_5,1 / 0,298.15,0 / 1.5,aci
solvent_51 / solvent_60,1 / 0,298.15,0 / 1.5,aci
solvent_51 / solvent_50,1 / 0,298.15,0 / 1.42,aci
solvent_51 / solvent_190,1 / 0,298.15,0 / 1.63,aci
solvent_51 / solvent_19,1 / 0,298.15,0 / 1.76,aci
solvent_51 / solvent_128,1 / 0,298.15,0 / 1.73,aci
solvent_51 / solvent_44,1 / 0,298.15,0 / 1.86,aci
solvent_51 / solvent_844,1 / 0,298.15,0 / 1.72,aci
solvent_51 / solvent_900,1 / 0,298.15,0 / 1.82,aci
solvent_51 / solvent_126,1 / 0,298.15,0 / 1.6,aci
solvent_51 / solvent_123,1 / 0,298.15,0 / 1.97,aci
solvent_51 / solvent_18,1 / 0,298.15,0 / 0.18,aci
solvent_743 / solvent_60,1 / 0,298.15,0 / 5.91,aci
solvent_743 / solvent_50,1 / 0,298.15,0 / 4.88,aci
solvent_743 / solvent_18,1 / 0,298.15,0 / 2.03,aci
solvent_743 / solvent_365,1 / 0,298.15,0 / 3.81,aci
solvent_743 / solvent_93,1 / 0,298.15,0 / 2.98,aci
solvent_568 / solvent_50,1 / 0,298.15,0 / 0.67,aci
solvent_899 / solvent_50,1 / 0,298.15,0 / 0.46,aci
solvent_168 / solvent_50,1 / 0,298.15,0 / 1.22,aci
solvent_242 / solvent_60,1 / 0,298.15,0 / 0.79,aci
solvent_242 / solvent_32,1 / 0,298.15,0 / 0.07,aci
solvent_839 / solvent_60,1 / 0,298.15,0 / 4.62,aci
solvent_839 / solvent_50,1 / 0,298.15,0 / 3.93,aci
solvent_839 / solvent_18,1 / 0,298.15,0 / 1.46,aci
solvent_839 / solvent_3,1 / 0,298.15,0 / 1.65,aci
solvent_839 / solvent_41,1 / 0,298.15,0 / 2.12,aci
solvent_839 / solvent_365,1 / 0,298.15,0 / 3.21,aci
solvent_839 / solvent_93,1 / 0,298.15,0 / 2.39,aci
solvent_243 / solvent_60,1 / 0,298.15,0 / 1.31,aci
solvent_243 / solvent_32,1 / 0,298.15,0 / 0.06,aci
solvent_845 / solvent_5,1 / 0,298.15,0 / 3.55,aci
solvent_845 / solvent_136,1 / 0,298.15,0 / 2.74,aci
solvent_845 / solvent_251,1 / 0,298.15,0 / 3.69,aci
solvent_845 / solvent_60,1 / 0,298.15,0 / 3.87,aci
solvent_845 / solvent_50,1 / 0,298.15,0 / 3.2,aci
solvent_845 / solvent_19,1 / 0,298.15,0 / 4.06,aci
solvent_845 / solvent_818,1 / 0,298.15,0 / 3.29,aci
solvent_845 / solvent_44,1 / 0,298.15,0 / 4.37,aci
solvent_845 / solvent_227,1 / 0,298.15,0 / 3.52,aci
solvent_845 / solvent_123,1 / 0,298.15,0 / 4.7,aci
solvent_845 / solvent_113,1 / 0,298.15,0 / 4.98,aci
solvent_845 / solvent_18,1 / 0,298.15,0 / 0.89,aci
solvent_845 / solvent_3,1 / 0,298.15,0 / 1.28,aci
solvent_845 / solvent_41,1 / 0,298.15,0 / 1.7,aci
solvent_845 / solvent_365,1 / 0,298.15,0 / 2.53,aci
solvent_845 / solvent_93,1 / 0,298.15,0 / 1.73,aci
solvent_845 / solvent_102,1 / 0,298.15,0 / 2.93,aci
solvent_845 / solvent_309,1 / 0,298.15,0 / 3.25,aci
solvent_845 / solvent_46,1 / 0,298.15,0 / 3.58,aci
solvent_845 / solvent_824,1 / 0,298.15,0 / 1.53,aci
solvent_845 / solvent_141,1 / 0,298.15,0 / 1.81,aci
solvent_845 / solvent_903,1 / 0,298.15,0 / 2.16,aci
solvent_877 / solvent_50,1 / 0,298.15,0 / 0.25,aci
solvent_877 / solvent_19,1 / 0,298.15,0 / 0.35,aci
solvent_112 / solvent_5,1 / 0,298.15,0 / 1.67,aci
solvent_112 / solvent_60,1 / 0,298.15,0 / 1.84,aci
solvent_112 / solvent_50,1 / 0,298.15,0 / 1.53,aci
solvent_112 / solvent_190,1 / 0,298.15,0 / 1.82,aci
solvent_112 / solvent_19,1 / 0,298.15,0 / 1.96,aci
solvent_112 / solvent_128,1 / 0,298.15,0 / 1.97,aci
solvent_112 / solvent_44,1 / 0,298.15,0 / 2.12,aci
solvent_112 / solvent_844,1 / 0,298.15,0 / 1.96,aci
solvent_112 / solvent_900,1 / 0,298.15,0 / 2.14,aci
solvent_112 / solvent_126,1 / 0,298.15,0 / 1.85,aci
solvent_112 / solvent_123,1 / 0,298.15,0 / 2.29,aci
solvent_112 / solvent_822,1 / 0,298.15,0 / 1.89,aci
solvent_112 / solvent_3,1 / 0,298.15,0 / 0.17,aci
solvent_112 / solvent_1,1 / 0,298.15,0 / 0.91,aci
solvent_112 / solvent_12,1 / 0,298.15,0 / 0.22,aci
solvent_112 / solvent_7,1 / 0,298.15,0 / 1.22,aci
solvent_837 / solvent_60,1 / 0,298.15,0 / 3.42,aci
solvent_837 / solvent_50,1 / 0,298.15,0 / 2.84,aci
solvent_837 / solvent_18,1 / 0,298.15,0 / 0.51,aci
solvent_837 / solvent_365,1 / 0,298.15,0 / 2.16,aci
