solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_626 / solvent_106,0.10 / 0.90,298.15,0.471759350 / 0.000251480,cosmo
solvent_405 / solvent_731,0.10 / 0.90,298.15,0.222069620 / -0.001498440,cosmo
solvent_199 / solvent_96,0.10 / 0.90,298.15,-0.17456173 / -0.00340501,cosmo
solvent_8 / solvent_673,0.10 / 0.90,298.15,0.010381290 / 0.001656160,cosmo
solvent_43 / solvent_731,0.10 / 0.90,298.15,-0.36328756 / -0.00274913,cosmo
solvent_350 / solvent_707,0.10 / 0.90,298.15,0.160073370 / -0.000388210,cosmo
solvent_339 / solvent_712,0.10 / 0.90,298.15,0.113637390 / 0.002867390,cosmo
solvent_6 / solvent_34,0.10 / 0.90,298.15,0.091659960 / 0.001361720,cosmo
solvent_249 / solvent_450,0.10 / 0.90,298.15,0.250214140 / 0.004711570,cosmo
solvent_270 / solvent_28,0.10 / 0.90,298.15,0.143792080 / 0.006016230,cosmo
solvent_418 / solvent_704,0.10 / 0.90,298.15,0.312866580 / 0.002317560,cosmo
solvent_430 / solvent_40,0.10 / 0.90,298.15,0.258062590 / 0.004282830,cosmo
solvent_470 / solvent_696,0.10 / 0.90,298.15,0.267026930 / 0.002355820,cosmo
solvent_280 / solvent_448,0.10 / 0.90,298.15,0.575633320 / 0.005705960,cosmo
solvent_149 / solvent_445,0.10 / 0.90,298.15,0.601429470 / 0.036816360,cosmo
solvent_98 / solvent_697,0.10 / 0.90,298.15,0.115506390 / 0.001077660,cosmo
solvent_359 / solvent_587,0.10 / 0.90,298.15,1.132658060 / 0.030348420,cosmo
solvent_431 / solvent_370,0.10 / 0.90,298.15,-0.17621818 / -0.0035262,cosmo
solvent_285 / solvent_502,0.10 / 0.90,298.15,0.027112390 / -0.000374580,cosmo
solvent_59 / solvent_724,0.10 / 0.90,298.15,0.032217770 / 0.002815460,cosmo
solvent_678 / solvent_704,0.10 / 0.90,298.15,0.697302020 / 0.011147290,cosmo
solvent_311 / solvent_468,0.10 / 0.90,298.15,0.062581550 / 0.000749060,cosmo
solvent_90 / solvent_95,0.10 / 0.90,298.15,-0.13748365 / -0.00243482,cosmo
solvent_621 / solvent_674,0.10 / 0.90,298.15,1.743100590 / 0.062929900,cosmo
solvent_276 / solvent_382,0.10 / 0.90,298.15,-3.96893739 / -0.03846144,cosmo
solvent_559 / solvent_773,0.10 / 0.90,298.15,-0.0494754 / -0.00055732,cosmo
solvent_112 / solvent_22,0.10 / 0.90,298.15,0.235438700 / 0.004520210,cosmo
