solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_626 / solvent_106,0.00 / 1.00,298.15,0.390646700 / 0.000000000,cosmo
solvent_405 / solvent_731,0.00 / 1.00,298.15,0.193653480 / 0.000000000,cosmo
solvent_199 / solvent_96,0.00 / 1.00,298.15,-0.24059407 / 0,cosmo
solvent_8 / solvent_673,0.00 / 1.00,298.15,0.046411150 / 0.000000000,cosmo
solvent_43 / solvent_731,0.00 / 1.00,298.15,-0.41384862 / 0,cosmo
solvent_350 / solvent_707,0.00 / 1.00,298.15,0.156058320 / 0.000000000,cosmo
solvent_339 / solvent_712,0.00 / 1.00,298.15,0.180626020 / 0.000000000,cosmo
solvent_6 / solvent_34,0.00 / 1.00,298.15,0.109404260 / 0.000000000,cosmo
solvent_249 / solvent_450,0.00 / 1.00,298.15,0.343515620 / 0.000000000,cosmo
solvent_270 / solvent_28,0.00 / 1.00,298.15,0.260796120 / 0.000000000,cosmo
solvent_418 / solvent_704,0.00 / 1.00,298.15,0.354890020 / 0.000000000,cosmo
solvent_430 / solvent_40,0.00 / 1.00,298.15,0.341759250 / 0.000000000,cosmo
solvent_470 / solvent_696,0.00 / 1.00,298.15,0.312412360 / 0.000000000,cosmo
solvent_280 / solvent_448,0.00 / 1.00,298.15,0.683155150 / 0.000000000,cosmo
solvent_149 / solvent_445,0.00 / 1.00,298.15,1.474674560 / 0.000000000,cosmo
solvent_98 / solvent_697,0.00 / 1.00,298.15,0.135690270 / 0.000000000,cosmo
solvent_359 / solvent_587,0.00 / 1.00,298.15,1.749901310 / 0.000000000,cosmo
solvent_431 / solvent_370,0.00 / 1.00,298.15,-0.24605824 / 0,cosmo
solvent_285 / solvent_502,0.00 / 1.00,298.15,0.021304380 / 0.000000000,cosmo
solvent_59 / solvent_724,0.00 / 1.00,298.15,0.130550850 / 0.000000000,cosmo
solvent_678 / solvent_704,0.00 / 1.00,298.15,0.920606220 / 0.000000000,cosmo
solvent_311 / solvent_468,0.00 / 1.00,298.15,0.077241450 / 0.000000000,cosmo
solvent_90 / solvent_95,0.00 / 1.00,298.15,-0.18485315 / 0,cosmo
solvent_621 / solvent_674,0.00 / 1.00,298.15,3.652618090 / 0.000000000,cosmo
solvent_276 / solvent_382,0.00 / 1.00,298.15,-4.66688478 / 0,cosmo
solvent_559 / solvent_773,0.00 / 1.00,298.15,-0.06013992 / 0,cosmo
solvent_112 / solvent_22,0.00 / 1.00,298.15,0.324785100 / 0.000000000,cosmo
solvent_521 / solvent_702,0.00 / 1.00,298.15,5.796829460 / 0.000000000,cosmo
solvent_541 / solvent_604,0.00 / 1.00,298.15,-0.03728842 / 0,cosmo
solvent_4 / solvent_789,0.00 / 1.00,298.15,0.335177910 / 0.000000000,cosmo
solvent_358 / solvent_65,0.00 / 1.00,298.15,0.620970850 / 0.000000000,cosmo
solvent_275 / solvent_479,0.00 / 1.00,298.15,0.368964570 / 0.000000000,cosmo
solvent_115 / solvent_561,0.00 / 1.00,298.15,-0.03003815 / 0,cosmo
solvent_618 / solvent_795,0.00 / 1.00,298.15,0.055730710 / 0.000000000,cosmo
solvent_80 / solvent_625,0.00 / 1.00,298.15,-0.26499874 / 0,cosmo
solvent_427 / solvent_506,0.00 / 1.00,298.15,-0.15627493 / 0,cosmo
solvent_298 / solvent_380,0.00 / 1.00,298.15,0.628657290 / 0.000000000,cosmo
solvent_320 / solvent_4,0.00 / 1.00,298.15,0.134594040 / 0.000000000,cosmo
solvent_113 / solvent_2,0.00 / 1.00,298.15,-0.04913941 / 0,cosmo
solvent_723 / solvent_764,0.00 / 1.00,298.15,0.608151230 / 0.000000000,cosmo
solvent_249 / solvent_26,0.00 / 1.00,298.15,3.829978320 / 0.000000000,cosmo
solvent_417 / solvent_574,0.00 / 1.00,298.15,0.646017060 / 0.000000000,cosmo
solvent_498 / solvent_557,0.00 / 1.00,298.15,2.088099000 / 0.000000000,cosmo
solvent_11 / solvent_44,0.00 / 1.00,298.15,1.583855330 / 0.000000000,cosmo
solvent_352 / solvent_107,0.00 / 1.00,298.15,-0.6174538 / 0,cosmo
solvent_162 / solvent_720,0.00 / 1.00,298.15,2.750272370 / 0.000000000,cosmo
solvent_373 / solvent_30,0.00 / 1.00,298.15,-0.33284566 / 0,cosmo
solvent_518 / solvent_16,0.00 / 1.00,298.15,6.334995600 / 0.000000000,cosmo
solvent_390 / solvent_576,0.00 / 1.00,298.15,0.046466090 / 0.000000000,cosmo
solvent_39 / solvent_656,0.00 / 1.00,298.15,-0.96283561 / 0,cosmo
solvent_401 / solvent_604,0.00 / 1.00,298.15,-0.75424123 / 0,cosmo
solvent_529 / solvent_614,0.00 / 1.00,298.15,-0.73864187 / 0,cosmo
solvent_297 / solvent_584,0.00 / 1.00,298.15,0.017782360 / 0.000000000,cosmo
solvent_328 / solvent_773,0.00 / 1.00,298.15,-0.27020414 / 0,cosmo
solvent_337 / solvent_768,0.00 / 1.00,298.15,-2.19266465 / 0,cosmo
solvent_380 / solvent_609,0.00 / 1.00,298.15,-0.3185412 / 0,cosmo
solvent_418 / solvent_489,0.00 / 1.00,298.15,1.097217530 / 0.000000000,cosmo
solvent_428 / solvent_768,0.00 / 1.00,298.15,1.715474780 / 0.000000000,cosmo
solvent_298 / solvent_92,0.00 / 1.00,298.15,4.357079610 / 0.000000000,cosmo
solvent_504 / solvent_53,0.00 / 1.00,298.15,0.847030650 / 0.000000000,cosmo
solvent_456 / solvent_34,0.00 / 1.00,298.15,0.314594120 / 0.000000000,cosmo
solvent_329 / solvent_618,0.00 / 1.00,298.15,-0.26955607 / 0,cosmo
solvent_380 / solvent_525,0.00 / 1.00,298.15,0.664983180 / 0.000000000,cosmo
solvent_430 / solvent_512,0.00 / 1.00,298.15,0.613998850 / 0.000000000,cosmo
solvent_353 / solvent_91,0.00 / 1.00,298.15,-0.02859324 / 0,cosmo
solvent_702 / solvent_5,0.00 / 1.00,298.15,0.625569660 / 0.000000000,cosmo
solvent_305 / solvent_387,0.00 / 1.00,298.15,0.319648120 / 0.000000000,cosmo
solvent_352 / solvent_524,0.00 / 1.00,298.15,-0.21475949 / 0,cosmo
solvent_206 / solvent_716,0.00 / 1.00,298.15,0.673766390 / 0.000000000,cosmo
solvent_265 / solvent_199,0.00 / 1.00,298.15,-0.02062122 / 0,cosmo
solvent_164 / solvent_615,0.00 / 1.00,298.15,0.603528250 / 0.000000000,cosmo
solvent_568 / solvent_577,0.00 / 1.00,298.15,0.309630120 / 0.000000000,cosmo
solvent_675 / solvent_692,0.00 / 1.00,298.15,0.138247900 / 0.000000000,cosmo
solvent_28 / solvent_713,0.00 / 1.00,298.15,-0.15769812 / 0,cosmo
solvent_318 / solvent_461,0.00 / 1.00,298.15,1.054380550 / 0.000000000,cosmo
solvent_567 / solvent_582,0.00 / 1.00,298.15,0.615210030 / 0.000000000,cosmo
solvent_313 / solvent_2,0.00 / 1.00,298.15,2.374666320 / 0.000000000,cosmo
solvent_622 / solvent_724,0.00 / 1.00,298.15,0.119608660 / 0.000000000,cosmo
solvent_606 / solvent_95,0.00 / 1.00,298.15,0.105019930 / 0.000000000,cosmo
solvent_339 / solvent_640,0.00 / 1.00,298.15,-0.01465173 / 0,cosmo
solvent_404 / solvent_530,0.00 / 1.00,298.15,-0.66992627 / 0,cosmo
solvent_15 / solvent_475,0.00 / 1.00,298.15,1.238959570 / 0.000000000,cosmo
solvent_474 / solvent_791,0.00 / 1.00,298.15,-0.42414688 / 0,cosmo
solvent_509 / solvent_796,0.00 / 1.00,298.15,6.847677970 / 0.000000000,cosmo
solvent_388 / solvent_9,0.00 / 1.00,298.15,0.185073390 / 0.000000000,cosmo
solvent_528 / solvent_785,0.00 / 1.00,298.15,-0.25165029 / 0,cosmo
solvent_615 / solvent_658,0.00 / 1.00,298.15,4.845650890 / 0.000000000,cosmo
solvent_344 / solvent_612,0.00 / 1.00,298.15,0.859608110 / 0.000000000,cosmo
solvent_276 / solvent_497,0.00 / 1.00,298.15,1.173380250 / 0.000000000,cosmo
solvent_349 / solvent_710,0.00 / 1.00,298.15,0.691050160 / 0.000000000,cosmo
solvent_285 / solvent_453,0.00 / 1.00,298.15,0.423152570 / 0.000000000,cosmo
solvent_287 / solvent_710,0.00 / 1.00,298.15,6.088246100 / 0.000000000,cosmo
solvent_46 / solvent_446,0.00 / 1.00,298.15,0.231365990 / 0.000000000,cosmo
solvent_682 / solvent_778,0.00 / 1.00,298.15,1.309765930 / 0.000000000,cosmo
solvent_161 / solvent_556,0.00 / 1.00,298.15,-0.47222871 / 0,cosmo
solvent_420 / solvent_118,0.00 / 1.00,298.15,0.049974360 / 0.000000000,cosmo
solvent_531 / solvent_577,0.00 / 1.00,298.15,-0.03947031 / 0,cosmo
solvent_329 / solvent_331,0.00 / 1.00,298.15,0.193675790 / 0.000000000,cosmo
solvent_473 / solvent_648,0.00 / 1.00,298.15,0.376281900 / 0.000000000,cosmo
solvent_305 / solvent_620,0.00 / 1.00,298.15,1.540482410 / 0.000000000,cosmo
solvent_8 / solvent_707,0.00 / 1.00,298.15,-0.60286417 / 0,cosmo
solvent_773 / solvent_774,0.00 / 1.00,298.15,-0.40485795 / 0,cosmo
solvent_185 / solvent_532,0.00 / 1.00,298.15,-0.03737127 / 0,cosmo
solvent_402 / solvent_81,0.00 / 1.00,298.15,-0.48956587 / 0,cosmo
solvent_584 / solvent_13,0.00 / 1.00,298.15,1.055683140 / 0.000000000,cosmo
solvent_98 / solvent_80,0.00 / 1.00,298.15,0.588250150 / 0.000000000,cosmo
solvent_414 / solvent_746,0.00 / 1.00,298.15,-0.74829832 / 0,cosmo
solvent_17 / solvent_789,0.00 / 1.00,298.15,3.024793880 / 0.000000000,cosmo
solvent_107 / solvent_681,0.00 / 1.00,298.15,-0.64476701 / 0,cosmo
solvent_15 / solvent_107,0.00 / 1.00,298.15,0.309479290 / 0.000000000,cosmo
solvent_304 / solvent_555,0.00 / 1.00,298.15,0.010458000 / 0.000000000,cosmo
solvent_489 / solvent_770,0.00 / 1.00,298.15,0.455034760 / 0.000000000,cosmo
solvent_631 / solvent_654,0.00 / 1.00,298.15,0.156018910 / 0.000000000,cosmo
solvent_528 / solvent_663,0.00 / 1.00,298.15,-0.17117326 / 0,cosmo
solvent_431 / solvent_714,0.00 / 1.00,298.15,0.166741670 / 0.000000000,cosmo
solvent_750 / solvent_764,0.00 / 1.00,298.15,0.598736090 / 0.000000000,cosmo
solvent_354 / solvent_448,0.00 / 1.00,298.15,1.201638480 / 0.000000000,cosmo
solvent_295 / solvent_175,0.00 / 1.00,298.15,0.016787110 / 0.000000000,cosmo
solvent_377 / solvent_594,0.00 / 1.00,298.15,-2.86147651 / 0,cosmo
solvent_262 / solvent_322,0.00 / 1.00,298.15,1.156030930 / 0.000000000,cosmo
