solv_i_id,solv_i_name,molefrac_i,T,ln_gamma_i
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0150 / 0.9850,325.0,5.4032 / -4.0426
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0435 / 0.9565,325.0,5.1608 / -3.9696
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0720 / 0.9280,325.0,5.0969 / -3.8417
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0350 / 0.9650,350.0,4.3399 / -3.4548
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0200 / 0.9800,389.25,0.9773 / 0.0076
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0600 / 0.9400,386.05,0.8875 / 0.0234
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0800 / 0.9200,384.55,0.9292 / 0.0112
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1000 / 0.9000,383.15,0.8811 / 0.0290
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1110 / 0.8890,382.05,0.9130 / 0.0307
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1200 / 0.8800,381.65,0.9157 / 0.0170
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1400 / 0.8600,380.35,0.8644 / 0.0473
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1560 / 0.8440,379.15,0.8234 / 0.0887
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1840 / 0.8160,378.35,0.8059 / 0.0555
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2340 / 0.7660,375.95,0.7586 / 0.0871
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2850 / 0.7150,374.45,0.6798 / 0.1222
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.3300 / 0.6700,373.05,0.6238 / 0.1708
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.3900 / 0.6100,371.95,0.5587 / 0.1924
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.4700 / 0.5300,370.95,0.4402 / 0.2978
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.5100 / 0.4900,370.45,0.4022 / 0.3341
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.5950 / 0.4050,369.75,0.2968 / 0.4867
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.7100 / 0.2900,369.45,0.1769 / 0.7044
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.7610 / 0.2390,369.35,0.1434 / 0.7987
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.8420 / 0.1580,369.55,0.0697 / 1.0844
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.8900 / 0.1100,370.25,0.0359 / 1.2355
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.9650 / 0.0350,372.15,0.0069 / 1.5113
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.9810 / 0.0190,372.65,0.0062 / 1.6501
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0200 / 0.9800,363.15,1.1700 / 0.0544
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0450 / 0.9550,363.15,1.0519 / 0.0463
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0800 / 0.9200,363.15,1.0682 / 0.0729
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1050 / 0.8950,363.15,1.0668 / 0.0717
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1500 / 0.8500,363.15,0.9408 / 0.0901
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1850 / 0.8150,363.15,0.8980 / 0.0988
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2650 / 0.7350,363.15,0.7553 / 0.1342
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2850 / 0.7150,363.15,0.7254 / 0.1631
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.3050 / 0.6950,363.15,0.7273 / 0.1553
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.4300 / 0.5700,363.15,0.5223 / 0.2933
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.5000 / 0.5000,363.15,0.4311 / 0.3675
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.6050 / 0.3950,363.15,0.2886 / 0.5293
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.6450 / 0.3550,363.15,0.2415 / 0.6022
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.7100 / 0.2900,363.15,0.1853 / 0.7118
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.7850 / 0.2150,363.15,0.1205 / 0.9043
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.8000 / 0.2000,363.15,0.1063 / 0.9515
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.8800 / 0.1200,363.15,0.0491 / 1.2397
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.9350 / 0.0650,363.15,0.0257 / 1.4832
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.9500 / 0.0500,363.15,0.0161 / 1.4903
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.7840 / 0.1360 / 0.0800,330.55,0.0119 / 0.5536 / 0.2462
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.8150 / 0.1010 / 0.0840,330.55,0.0065 / 0.5582 / 0.2775
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.8570 / 0.0630 / 0.0800,330.55,-0.0070 / 0.6140 / 0.3262
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.7420 / 0.1770 / 0.0810,330.65,0.0253 / 0.5256 / 0.1656
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.7130 / 0.2060 / 0.0810,330.85,0.0291 / 0.4958 / 0.1804
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.6740 / 0.2520 / 0.0740,331.15,0.0436 / 0.4269 / 0.1690
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.6100 / 0.3170 / 0.0730,331.45,0.1021 / 0.2996 / 0.1231
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.6310 / 0.2960 / 0.0730,331.45,0.0778 / 0.3379 / 0.1231
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.5400 / 0.4310 / 0.0290,331.65,0.1561 / 0.2397 / 0.0583
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.4950 / 0.4810 / 0.0240,332.15,0.1935 / 0.1890 / 0.0865
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.6240 / 0.1700 / 0.2060,332.55,0.0397 / 0.4753 / 0.1533
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.4460 / 0.5290 / 0.0250,332.65,0.2023 / 0.2164 / 0.1020
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.4500 / 0.5230 / 0.0270,332.65,0.2160 / 0.1843 / 0.1586
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.4850 / 0.3500 / 0.1650,332.75,0.1631 / 0.2799 / 0.1156
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.5600 / 0.1960 / 0.2440,333.25,0.0544 / 0.4297 / 0.1740
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.4530 / 0.3320 / 0.2150,333.75,0.1664 / 0.2759 / 0.0598
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.3070 / 0.6420 / 0.0510,334.45,0.3409 / 0.1590 / 0.0877
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.4510 / 0.2440 / 0.3050,334.75,0.1117 / 0.3366 / 0.1132
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.4160 / 0.3060 / 0.2780,334.75,0.1825 / 0.2520 / 0.0553
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.2920 / 0.6550 / 0.0530,334.95,0.3667 / 0.1265 / 0.0962
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.3890 / 0.2790 / 0.3320,335.55,0.1789 / 0.2579 / 0.0730
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.2450 / 0.6980 / 0.0570,335.95,0.4189 / 0.1128 / 0.1064
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.4700 / 0.0910 / 0.4390,336.15,0.0699 / 0.3478 / 0.1270
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.3670 / 0.2590 / 0.3740,336.25,0.1750 / 0.2732 / 0.0694
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.3840 / 0.2370 / 0.3790,336.25,0.1566 / 0.2816 / 0.0647
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.2850 / 0.3100 / 0.4050,337.15,0.2790 / 0.2460 / 0.0340
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.1840 / 0.7570 / 0.0590,337.25,0.5319 / 0.0929 / 0.0811
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.3130 / 0.2440 / 0.4430,337.35,0.2500 / 0.2499 / 0.0075
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.2740 / 0.4300 / 0.2960,337.55,0.2910 / 0.1497 / 0.0244
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.2340 / 0.4980 / 0.2680,338.05,0.3459 / 0.1325 / 0.0325
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.2880 / 0.2360 / 0.4760,338.25,0.2166 / 0.2536 / 0.0579
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.1410 / 0.7990 / 0.0600,338.95,0.5810 / 0.0841 / 0.0574
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0810 / 0.8530 / 0.0660,341.55,0.7199 / 0.0656 / 0.1369
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0390 / 0.8940 / 0.0670,344.15,0.8535 / 0.0646 / 0.1099
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0810 / 0.4250 / 0.4940,344.15,0.5281 / 0.1349 / 0.0056
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0840 / 0.2060 / 0.7100,344.85,0.4146 / 0.1291 / 0.0812
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0600 / 0.3910 / 0.5490,345.45,0.5095 / 0.1166 / 0.0480
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0520 / 0.4960 / 0.4520,346.65,0.6160 / 0.0402 / -0.0030
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0570 / 0.9130 / 0.0300,346.65,0.7473 / -0.0782 / 0.1390
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0570 / 0.1790 / 0.7640,347.25,0.4446 / 0.0896 / 0.0454
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0330 / 0.4410 / 0.5260,347.75,0.5674 / 0.0480 / 0.0451
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0380 / 0.3210 / 0.6410,347.85,0.4698 / 0.0871 / 0.0379
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0520 / 0.3140 / 0.6340,348.15,0.4438 / 0.0564 / -0.0043
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0360 / 0.2840 / 0.6800,348.35,0.4527 / 0.0711 / 0.0383
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0440 / 0.1530 / 0.8030,348.45,0.4087 / 0.1166 / 0.0329
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0520 / 0.2630 / 0.6850,348.45,0.4143 / 0.0319 / 0.0111
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0310 / 0.3780 / 0.5910,348.65,0.4487 / 0.0825 / 0.0082
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0310 / 0.2530 / 0.7160,348.75,0.4567 / 0.0730 / 0.0394
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0430 / 0.2100 / 0.7470,349.25,0.4557 / 0.0509 / -0.0050
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0390 / 0.1690 / 0.7920,349.75,0.4739 / 0.0817 / -0.0172
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0210 / 0.2530 / 0.7260,349.95,0.4739 / 0.1029 / -0.0001
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0240 / 0.0230 / 0.9530,351.45,0.3982 / 0.1530 / -0.0015
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0180 / 0.1020 / 0.8800,351.55,0.3575 / 0.1567 / -0.0143
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0090 / 0.0720 / 0.9190,352.55,0.4023 / 0.1354 / -0.0184
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0160 / 0.0170 / 0.9670,352.55,0.4460 / 0.0347 / -0.0186
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0060 / 0.0730 / 0.9210,352.65,0.4171 / 0.1298 / -0.0147
kdb_solvent_32 / kdb_solvent_4 / kdb_solvent_18,ACETONE / CARBON TETRACHLORIDE / BENZENE,0.0160 / 0.0170 / 0.9670,352.85,0.4372 / 0.0770 / -0.0289
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0110 / 0.0960 / 0.8930,337.99,3.2360 / 0.1415 / 0.0052
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0540 / 0.1070 / 0.8390,331.09,2.3697 / 0.2104 / 0.0210
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.2040 / 0.0980 / 0.6980,327.85,1.2959 / 0.4160 / 0.1990
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.3230 / 0.0950 / 0.5820,327.75,0.8717 / 0.4424 / 0.3429
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.4500 / 0.0960 / 0.4540,327.47,0.5700 / 0.4915 / 0.5589
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.5330 / 0.0980 / 0.3690,327.28,0.4021 / 0.5983 / 0.7374
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.6300 / 0.0920 / 0.2780,327.28,0.2607 / 0.7167 / 0.9505
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.7290 / 0.0890 / 0.1820,327.32,0.1505 / 0.8564 / 1.2385
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.8240 / 0.0850 / 0.0910,328.07,0.0775 / 1.0150 / 1.5693
