solv_i_id,solv_i_name,molefrac_i,T,ln_gamma_i
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0150 / 0.9850,325,5.4032 / -4.0426
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0435 / 0.9565,325,5.1608 / -3.9696
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0720 / 0.9280,325,5.0969 / -3.8417
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0350 / 0.9650,350,4.3399 / -3.4548
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0200 / 0.9800,389.25,0.9773 / 0.0076
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0600 / 0.9400,386.05,0.8875 / 0.0234
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0800 / 0.9200,384.55,0.9292 / 0.0112
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1000 / 0.9000,383.15,0.8811 / 0.0290
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1110 / 0.8890,382.05,0.9130 / 0.0307
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1200 / 0.8800,381.65,0.9157 / 0.0170
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1400 / 0.8600,380.35,0.8644 / 0.0473
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1560 / 0.8440,379.15,0.8234 / 0.0887
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1840 / 0.8160,378.35,0.8059 / 0.0555
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2340 / 0.7660,375.95,0.7586 / 0.0871
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2850 / 0.7150,374.45,0.6798 / 0.1222
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.3300 / 0.6700,373.05,0.6238 / 0.1708
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.3900 / 0.6100,371.95,0.5587 / 0.1924
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.4700 / 0.5300,370.95,0.4402 / 0.2978
