solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_32 / solvent_57 / solvent_13,0.2290 / 0.1750 / 0.5960,331.42,0.0181 / 0.2676 / 0.1492,kdb
solvent_32 / solvent_57 / solvent_13,0.2570 / 0.2100 / 0.5330,330.9,0.0120 / 0.1399 / 0.2210,kdb
solvent_32 / solvent_57 / solvent_13,0.2600 / 0.2760 / 0.4640,330.59,-0.0571 / 0.1716 / 0.2532,kdb
solvent_32 / solvent_57 / solvent_13,0.2620 / 0.3050 / 0.4330,330.8,-0.1281 / 0.171 / 0.2705,kdb
solvent_32 / solvent_57 / solvent_13,0.2690 / 0.3040 / 0.4270,330.88,-0.1327 / 0.1685 / 0.2695,kdb
solvent_32 / solvent_57 / solvent_13,0.2710 / 0.2780 / 0.4510,330.94,-0.0949 / 0.1761 / 0.2424,kdb
solvent_32 / solvent_57 / solvent_13,0.2720 / 0.2690 / 0.4590,330.92,-0.0902 / 0.1793 / 0.2415,kdb
solvent_32 / solvent_57 / solvent_13,0.2780 / 0.2770 / 0.4450,330.97,-0.1024 / 0.172 / 0.2477,kdb
solvent_32 / solvent_57 / solvent_13,0.2790 / 0.1880 / 0.5330,331.07,0.0378 / 0.1739 / 0.1779,kdb
solvent_32 / solvent_57 / solvent_13,0.2790 / 0.2780 / 0.4430,330.94,-0.0937 / 0.1694 / 0.2466,kdb
solvent_32 / solvent_57 / solvent_13,0.2790 / 0.2840 / 0.4370,330.84,-0.1053 / 0.168 / 0.262,kdb
solvent_32 / solvent_57 / solvent_13,0.2810 / 0.2940 / 0.4250,330.9,-0.1221 / 0.1542 / 0.2757,kdb
solvent_32 / solvent_57 / solvent_13,0.2820 / 0.3130 / 0.4050,330.85,-0.1511 / 0.1342 / 0.3118,kdb
solvent_32 / solvent_57 / solvent_13,0.2920 / 0.2940 / 0.4140,330.94,-0.1318 / 0.1301 / 0.298,kdb
solvent_32 / solvent_57 / solvent_13,0.2920 / 0.2040 / 0.5040,331.11,-0.0288 / 0.18 / 0.2052,kdb
solvent_32 / solvent_57 / solvent_13,0.2960 / 0.2050 / 0.4990,330.84,-0.0006 / 0.2019 / 0.1965,kdb
solvent_32 / solvent_57 / solvent_13,0.2970 / 0.2740 / 0.4290,331,-0.0932 / 0.1479 / 0.2576,kdb
solvent_32 / solvent_57 / solvent_13,0.3070 / 0.2030 / 0.4900,331.17,-0.0073 / 0.1693 / 0.188,kdb
