solv_i_id,molefrac_i,ln_gamma_i
solvent_647 / solvent_712 / solvent_843,0.33 / 0.33 / 0.34,-0.113345810 / -0.062498380 / -0.127864580
solvent_166 / solvent_461 / solvent_467,0.33 / 0.33 / 0.34,-0.083468900 / -0.021488650 / -0.061436530
solvent_313 / solvent_399 / solvent_677,0.33 / 0.33 / 0.34,1.106201080 / -0.022920960 / 0.803455450
solvent_245 / solvent_407 / solvent_515,0.33 / 0.33 / 0.34,0.486406180 / 0.275005220 / 1.036463820
solvent_109 / solvent_187 / solvent_260,0.33 / 0.33 / 0.34,-0.100462810 / 0.221577390 / -0.339386420
solvent_96 / solvent_598 / solvent_749,0.33 / 0.33 / 0.34,0.295170690 / -0.040679420 / 0.287417040
solvent_316 / solvent_661 / solvent_822,0.33 / 0.33 / 0.34,-0.048576740 / -0.011967300 / -0.029625210
solvent_11 / solvent_368 / solvent_495,0.33 / 0.33 / 0.34,-0.089448930 / 0.064798400 / -0.396401680
solvent_185 / solvent_555 / solvent_622,0.33 / 0.33 / 0.34,-0.222129930 / -0.066143410 / -0.010446530
solvent_201 / solvent_556 / solvent_841,0.33 / 0.33 / 0.34,0.295229910 / -2.471275120 / -1.384512810
solvent_262 / solvent_431 / solvent_767,0.33 / 0.33 / 0.34,-0.064546880 / 0.124082320 / 0.049792200
solvent_20 / solvent_698 / solvent_796,0.33 / 0.33 / 0.34,0.516379100 / 0.739068930 / 0.382621150
solvent_122 / solvent_293 / solvent_805,0.33 / 0.33 / 0.34,0.297663700 / 0.118325220 / 0.053734650
solvent_106 / solvent_521 / solvent_791,0.33 / 0.33 / 0.34,0.325939290 / 0.624873350 / 0.258042750
solvent_116 / solvent_194 / solvent_698,0.33 / 0.33 / 0.34,0.089053250 / 0.115664860 / 0.023993760
solvent_202 / solvent_343 / solvent_814,0.33 / 0.33 / 0.34,0.082557980 / 0.531879770 / 0.099125160
solvent_24 / solvent_473 / solvent_676,0.33 / 0.33 / 0.34,0.692059070 / 0.123573560 / 0.550316110
solvent_63 / solvent_262 / solvent_665,0.33 / 0.33 / 0.34,0.171797730 / -0.190523550 / -0.010010460
solvent_66 / solvent_312 / solvent_450,0.33 / 0.33 / 0.34,0.320265060 / 0.751101030 / 0.324052530
solvent_618 / solvent_637 / solvent_642,0.33 / 0.33 / 0.34,-0.055918110 / 0.016527730 / -0.023929390
solvent_16 / solvent_597 / solvent_677,0.33 / 0.33 / 0.34,0.027336020 / 1.287031780 / 0.766634050
solvent_438 / solvent_635 / solvent_673,0.33 / 0.33 / 0.34,0.106776310 / 0.945262440 / 0.400173710
solvent_39 / solvent_464 / solvent_743,0.33 / 0.33 / 0.34,0.011559630 / -0.171291820 / -0.296297500
solvent_357 / solvent_475 / solvent_703,0.33 / 0.33 / 0.34,0.123900590 / 0.035061090 / 0.068466920
solvent_403 / solvent_435 / solvent_633,0.33 / 0.33 / 0.34,0.088286270 / 0.310915220 / -0.014248090
solvent_247 / solvent_423 / solvent_816,0.33 / 0.33 / 0.34,0.576753910 / 0.979545430 / -0.071982010
solvent_115 / solvent_345 / solvent_573,0.33 / 0.33 / 0.34,0.015974990 / -0.001803260 / 0.041754190
solvent_16 / solvent_157 / solvent_766,0.33 / 0.33 / 0.34,-0.046821860 / 0.078415440 / 0.018737620
solvent_238 / solvent_348 / solvent_614,0.33 / 0.33 / 0.34,0.066290990 / 0.061704400 / 0.163516110
solvent_607 / solvent_637 / solvent_668,0.33 / 0.33 / 0.34,0.314293300 / -0.952764580 / -0.217134280
solvent_362 / solvent_585 / solvent_650,0.33 / 0.33 / 0.34,0.227714660 / 0.241063720 / 0.200261310
solvent_197 / solvent_507 / solvent_778,0.33 / 0.33 / 0.34,-0.080118440 / -0.203946260 / -0.049996350
solvent_44 / solvent_566 / solvent_809,0.33 / 0.33 / 0.34,0.731696800 / 0.261249990 / 0.092960420
solvent_77 / solvent_497 / solvent_544,0.33 / 0.33 / 0.34,0.353151100 / -0.333458610 / -0.686301660
solvent_288 / solvent_432 / solvent_638,0.33 / 0.33 / 0.34,0.008663380 / 0.166895650 / 0.088358510
solvent_317 / solvent_333 / solvent_721,0.33 / 0.33 / 0.34,0.600577200 / 0.236328700 / 0.592540490
solvent_184 / solvent_449 / solvent_466,0.33 / 0.33 / 0.34,-0.025506780 / -0.082884040 / 0.008662910
solvent_321 / solvent_348 / solvent_577,0.33 / 0.33 / 0.34,-0.232315940 / 0.045992700 / 0.216952720
solvent_631 / solvent_713 / solvent_750,0.33 / 0.33 / 0.34,0.182825640 / -0.064514720 / 0.020578710
solvent_110 / solvent_288 / solvent_661,0.33 / 0.33 / 0.34,0.037333110 / 0.089936660 / -0.009020100
solvent_234 / solvent_262 / solvent_608,0.33 / 0.33 / 0.34,0.702123950 / 0.588968350 / 0.133622730
solvent_135 / solvent_402 / solvent_608,0.33 / 0.33 / 0.34,0.320749290 / 0.094745990 / -0.298924920
solvent_350 / solvent_461 / solvent_551,0.33 / 0.33 / 0.34,0.782571730 / 0.302866610 / 0.472150020
solvent_152 / solvent_474 / solvent_841,0.33 / 0.33 / 0.34,-0.144468390 / 0.156037230 / -0.194489720
solvent_534 / solvent_627 / solvent_840,0.33 / 0.33 / 0.34,-0.093433880 / -0.735795100 / 0.503078480
solvent_163 / solvent_165 / solvent_390,0.33 / 0.33 / 0.34,0.461600900 / -0.090964280 / -0.032426700
solvent_379 / solvent_382 / solvent_795,0.33 / 0.33 / 0.34,0.761623570 / 0.917470510 / 0.472308080
solvent_44 / solvent_232 / solvent_339,0.33 / 0.33 / 0.34,0.562226440 / 0.388547270 / 0.052615320
solvent_86 / solvent_342 / solvent_690,0.33 / 0.33 / 0.34,0.134079300 / -0.213246200 / -0.127304970
solvent_95 / solvent_260 / solvent_665,0.33 / 0.33 / 0.34,0.553869760 / -0.116435150 / 0.170767500
solvent_195 / solvent_258 / solvent_672,0.33 / 0.33 / 0.34,0.195106210 / 0.448325050 / 0.062791260
solvent_185 / solvent_337 / solvent_391,0.33 / 0.33 / 0.34,-0.350784690 / 0.703131780 / 0.048488850
solvent_200 / solvent_272 / solvent_360,0.33 / 0.33 / 0.34,-0.004465600 / -0.193974430 / -0.100836680
solvent_45 / solvent_210 / solvent_347,0.33 / 0.33 / 0.34,0.010390700 / 0.019750340 / 0.151252760
solvent_333 / solvent_594 / solvent_752,0.33 / 0.33 / 0.34,0.422528070 / -0.389705150 / -0.359071540
solvent_243 / solvent_424 / solvent_703,0.33 / 0.33 / 0.34,0.282150940 / 0.497862870 / 0.337133040
solvent_87 / solvent_112 / solvent_525,0.33 / 0.33 / 0.34,0.625035600 / 0.284573560 / 0.186627500
solvent_194 / solvent_774 / solvent_793,0.33 / 0.33 / 0.34,0.516642140 / 1.388041800 / 0.212446310
solvent_201 / solvent_343 / solvent_689,0.33 / 0.33 / 0.34,0.007463940 / 0.485115660 / 0.101385170
solvent_111 / solvent_263 / solvent_763,0.33 / 0.33 / 0.34,0.344180120 / -0.572568740 / -0.739179500
solvent_53 / solvent_417 / solvent_642,0.33 / 0.33 / 0.34,-0.703071920 / -0.000018840 / -0.190058650
solvent_110 / solvent_316 / solvent_333,0.33 / 0.33 / 0.34,0.021109330 / -0.001958560 / 0.082201060
solvent_2 / solvent_170 / solvent_435,0.33 / 0.33 / 0.34,0.073469390 / 0.004326910 / -0.209891480
solvent_6 / solvent_376 / solvent_535,0.33 / 0.33 / 0.34,-0.008186300 / 0.017301950 / 0.153754360
solvent_239 / solvent_381 / solvent_709,0.33 / 0.33 / 0.34,0.442458870 / 0.303881220 / 0.150818450
solvent_454 / solvent_748 / solvent_777,0.33 / 0.33 / 0.34,0.108394710 / -0.020581300 / -0.131073670
solvent_89 / solvent_362 / solvent_827,0.33 / 0.33 / 0.34,0.214022540 / -0.074864550 / 0.076604910
solvent_76 / solvent_172 / solvent_770,0.33 / 0.33 / 0.34,0.102066160 / -0.207604990 / -0.074270300
solvent_452 / solvent_594 / solvent_703,0.33 / 0.33 / 0.34,0.359634600 / -0.063275000 / -0.005007520
solvent_68 / solvent_184 / solvent_342,0.33 / 0.33 / 0.34,-0.064848800 / -0.018122020 / -0.176699130
solvent_622 / solvent_642 / solvent_651,0.33 / 0.33 / 0.34,0.065834590 / 0.029369680 / 0.187820220
solvent_561 / solvent_622 / solvent_727,0.33 / 0.33 / 0.34,0.003718940 / 0.099669450 / 0.046270460
